name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Lo Celso,TOT,MID,5.0,Available,0,0,0,0.0,0.1
Maddison,TOT,MID,7.5,Available,2479,135,9,4.5,17.2
Ndombele,TOT,MID,4.5,Available,0,0,0,0.0,1.5
Pedro Porro,TOT,DEF,5.0,Available,1132,59,5,3.9,4.4
Perišić,TOT,DEF,5.0,Available,2099,94,6,2.8,1.9
Reguilón,TOT,DEF,4.5,Available,0,0,0,0.0,0.2
Richarlison,TOT,MID,7.0,Available,995,54,2,2.0,1.8
Rodon,TOT,DEF,4.0,Available,0,0,0,0.0,0.3
Romero,TOT,DEF,4.5,Available,2363,66,3,2.4,0.9
Sánchez,TOT,DEF,4.5,Available,848,28,1,1.6,0.2
Sarr,TOT,MID,4.5,Available,211,14,0,1.3,0.7
Sessegnon,TOT,DEF,4.5,Doubtful,805,35,0,2.1,0.1
Skipp,TOT,MID,5.0,Available,1489,43,1,1.9,0.1
Son,TOT,MID,9.0,Available,2886,152,8,4.2,5.6
Spence,TOT,DEF,4.0,Available,5,4,0,1.0,0.9
Tanganga,TOT,DEF,4.0,Available,145,4,0,1.0,0.7
Udogie,TOT,DEF,4.5,Available,0,0,0,0.0,0.4
Vicario,TOT,GKP,5.0,Available,0,0,0,0.0,0.9
Whiteman,TOT,GKP,4.0,Available,0,0,0,0.0,0.3
Solomon,TOT,MID,5.5,Available,560,44,1,2.3,0.1
N.Aguerd,WHU,DEF,4.5,Available,1594,58,5,3.2,0.7
Antonio,WHU,FWD,6.0,Available,1822,84,4,2.5,1.7
Areola,WHU,GKP,4.0,Available,307,7,0,1.4,28.7
Benrahma,WHU,MID,6.0,Available,2059,106,5,3.0,1.1
Bowen,WHU,MID,7.0,Available,3232,145,9,3.8,4.3
Cornet,WHU,MID,5.5,Available,232,14,0,1.0,0.2
Coufal,WHU,DEF,4.5,Available,2135,58,2,2.1,0.3
Coventry,WHU,MID,4.5,Available,1,1,0,1.0,0.1
Cresswell,WHU,DEF,4.5,Available,2235,74,8,2.6,0.9
Downes,WHU,MID,5.0,Available,752,27,0,1.3,0.0
Emerson,WHU,DEF,4.5,Available,1317,39,2,1.8,0.3
Fabianski,WHU,GKP,4.5,Available,3111,127,10,3.5,3.9
P.Fornals,WHU,MID,5.0,Available,1493,71,6,2.2,0.1
Ings,WHU,FWD,6.0,Available,1579,97,13,2.8,1.4
